新闻ID,文本,标签
5010,559 2371 1859 1171 1007 1655 940 287 1491 2004 296 570 2140 2371 2027 2730 190,4
5011,2757 2569 1950 656 2845 1298 1554 1143 1662 2392 1491 2845 1298 102 2213 997 1265 1583 2383 2716,3
5012,2845 1298 1130 2617 270 680 2558 1223 2394 1996 2438 2511 399 691 1011 758 1130 2438 800 1912 1255,3
5013,2845 1298 695 126 2832 1130 914 207 204 935 318 1388 700 681 2558,3
5014,635 1766 2043 1316 1694 472 1491 1518 1518 2375 1978 1445 2808 1576 1156,1
5015,635 2663 2845 1298 1360 2509 102 535 2558 1520 444 2795 2764 2845 1298 1866 148 2427 2536 390 1843,3
5016,1978 173 1212 313 417 247 1602 1625 726 2393 2371 1262 913 2205 182 1550 204 1693 1554 1143,1
5017,444 1342 132 2564 1360 2192 1491 444 2405 866 535 1139 2664 2141 1535 380 102 771 319,1
5018,1265 1583 102 1175 1521 1126 1618 2706 293 1472 2274 1766 2764 1069 2808 1721 635 485 2275 2764,3
5019,2392 2314 421 2392 2141 2820 1514 1927 102 2663 940 1978 2845 1298 535 313 2558 1520 221 2650 2784 2132 2823 1090 1950 1857 1421,3
5020,421 1731 2747 1695 102 1943 1535 1491 2027 1641 417 102 535 114 1950 259 2192 1866 148 1857 1421,3
5021,2550 1533 1270 1732 995 1223 1775 1987 1491 2356 2642 2749 149 618 758 1533 1076 963 588 1255 1141 2664 1843,2
5022,132 148 1661 2832 1161 940 2507 1843 1859 259 2783 655 1987,3
5023,758 377 2605 1255 2823 2631 102 1475 1073 444 1243 1491 639 2754 2486 102 2810 2558 2751 1843,3
5024,2297 1442 1866 1313 1669 574 737 2299 634 1042 102 1583 1902 771 319 1223 1903 1001 1775 1987 1007 1532 1393 259 2558 2788 1859 422 2808 1857 1421,4
5025,1069 2808 1765 797 1360 2507 1491 1124 656 2427 1929 871 1156 1744 940 987 659 2018,1
5026,2345 2155 1747 2475 259 1267 175 1786 1232 2089 1276 1744 797 2706 2027 1648 1491 1421 1679 2274 1859 1767 1231 2509 688,4
5027,2140 2401 2706 2810 417 1422 1409 695 1583 102 2716 987 102 412 2677 319 1866 800 644 2375 2845 940 1978 135 842 258 2228 866 1212 1731 2714,1
5028,2475 302 827 1335 417 444 1243 2810 2532 932 655 1764 120 2228 1017 755 2840 2146 755 2840 987 1731 2810 2146 1389 2545,3
5029,2558 1520 1662 1043 1491 758 439 1965 1255 2332 165 1413 753 352 1388 1790 160 313 570 987 871 1156 302 2730,3
5030,2345 677 114 1866 1436 416 1267 1559 1741 1265 539 2196 137 2373 213 1496 940 2371 987 2564 1533 677 114 805,1
5031,1935 574 737 2299 1491 2550 1533 2510 174 1269 102 2539,2
5032,2345 2051 1156 1914 1297 1267 2550 1533 1765 1996 2141 2680 1514 1661 1491 1100 238 424 2677 2140 758 1161 1320 614 1255 1981 287,2
5033,2345 1025 2275 1245 1521 1267 143 178 681 2749 1100 2041 797 2706 656 1625 2027,1
5034,1437 2454 2550 1533 1330 287 618 1610 380 102 2677 319,2
5035,758 2656 1922 662 1255 2401 207 570 872 2146 1952 1770 246 106 745,3
5036,1442 1723 215 2823 371 417 1223 2558 1554 1765 797 213 234 2371 1140 1765 797 2639 2840 102,1
5037,102 272 2299 1678 102 534 604 1618 898 570 987 1552 1804 787 1113,4
5038,1017 1276 630 681 2558 2427 1775 1245 1679 417 102 2645 176 1895 102 965 102 695 2823 1169 2664 1857 1421 182 2727,3
5039,1661 587 1475 1665 630 424 2832 1491 1592 681 2146 1775 259 1546 2507 1642 2213 1491 989 1268 385 2712 2116 1843,3
5040,1017 1276 630 681 2558 417 1369 2754 370 1371 1895 2140 2810 822 726 1694 681 1491 2757 2569 949 422 1895 1618 1251 1179 2192 1970 472,3
5041,1494 1320 1592 681 102 535 292 1360 681 655 2784 2247 102 771 319 102 2375 2845,1
5042,1252 1219 215 1180 2275 1731 2714,4
5043,2126 587 1752 417 1358 1020 1421 974 1244 292 1917 1583 2383 771 319 965 1844 771 319 424 1112,3
5044,2660 2663 2656 745 444 2405 2564 1533 987 1775 1857 1421 161 1824,1
5045,1456 634 1298 1031 968 1775 2660 2130 1665 2030 1491 2419 2788 445 296 2390 902 2169,4
5046,2768 245 946 1262 2546 1144,1
5047,940 2051 904 2764 680 2663 417 509 2671 2360 2768 1818 1564 1064 2331 1996 692 1802 1965 1251,3
5048,2736 1121 1352 1438 987 2664 1546 1866 1538 2525 1843,1
5049,574 1661 132 1781 115 1987 424 776 2677 2275 2213 2304 2033 1524,1
5050,1212 327 1956 1759 2275 1996 1355 2784 1265 2716,3
5051,2592 2191 215 417 2481 795 2677 880 429 780 1696 1031 2089 182 1642 2677 880 630 752 2510 174 1775 678 1487,4
5052,1130 619 1126 1642 1673 2810 2532 2067 814 692 210 102 771 319,1
5053,135 2135 512 2275 417 1358 1020 1421 120 657 983 1852 292 1857 422 444 1243 102 412 1032 444 1243 1754 2167 1575 1583 102 2716,3
5054,570 2140 2155 1608 1895 1775 2135 644 2642 2373 2706 102 771 2090 2405 2564 1533 292 797 1744 2354 113 940 1978 444 1243,1
5055,570 1058 102 132 1781 535 534 1572 2213 102 1583 102 2716,1
5056,1952 124 2569 1521 417 1268 385 2274 2484 997 1679 2375 1978 213 2304 143 178 1843,1
5057,2546 1683 417 421 1731 132 1781 1987 2546 1575 1583 102 2716 421 1731 587 1475 132 1781 1987 2546 1575 1583 102 2716,3
5058,302 2080 1669 2671 737 2299 634 1042 102 1583 102 771 319 2140 957 2558 2788 1042 1680 1288 1754 1857 1421 102 1583 1575 2716,4
5059,1091 418 417 554 2394 1865 1866 1007 1655 2418 1110 2192 987 2810 2558 1223 1775 570 2639,4
5060,2564 1533 1212 313 1678 1320 302 2508 175 1642 2213 1978 173,1
5061,1669 457 2663 1618 1298 835 2706 2845 1298 2664 1194,3
5062,2345 451 1128 1245 313 1267 1238 590 2783 618 1355 1843 290 859 2755 1541 1728 1996 2438 1161 974 1193,3
5063,1618 2706 1665 630 1721 635 1175 1683 2392 1023 2536 390,3
5064,2169 234 417 102 535 1639 991 1090 1950 910 1288 1754 1857 102 1583 102 2716,3
5065,2331 490 2810 1735 2706 1643 2832 2027 370 776 490 1783 2714 1491 635 2663 1592 681 1514 2412 797 293 1458 169 1491 485 2275 2331 490 2810 1554 1143 357 1445 1615 1437 2070 1166,3
5066,681 2558 417 2089 204 1857 2412 293 1659 1491 960 1996 618 681 949 581 1554 1143 2027 1648,3
5067,134 1291 115 1938 2202 1981 1554 1491 442 1950 1249 473 535 618 509 1491 1618 2329 1042 1680 472 963 2642,3
5068,700 2025 1003 1602 417 1786 2329 692 424 1112 987 102 1583 2383 412 2275,3
5069,2345 2155 1747 2475 259 1245 313 1267 2514 935 776 490 485 2275 143 178 940 681 2764 587 1223 1554 444 1243 797 2706 1996 2438 974 1193,4
5070,1014 1576 2793 2416 2375 1978 1576 1156 1126 102 126 1421 1301 1950 1249 2783 1996 1754 1100 238 1775 1333 1437,1
5071,204 587 1147 417 2493 512 2155 1140 2660 1984 681 968 2155 1465 1885 2621 539 126 534 655 893 422 444 1243,3
5072,797 2706 587 1223 1554 987 132 1781 2564 1533 1866 1538 2525 1843 2504 564 772,1
5073,2345 240 1533 1936 1267 1017 1276 630 2392 1487 1642 2213 1491 2379 296 639 2153 1313 987 577 539 1412 2043 1843,3
5074,2763 2135 1752 417 102 535 1090 2489 102 1583 102 412 319 1491 1288 1754 1527 114 1860 2489,3
5075,2345 737 313 2412 2361 1267 535 692 2247 1017 1491 2058 1487 701 2511 1491 1169 2664 1859 1679,4
5076,635 814 2840 1207 2244 1491 485 2275 1077 535 357 1978 1568 2427 758 2546 2092 1535 1255,4
5077,485 2275 272 928 2536 390 2845 1298 2051 1244 160 2335 1251 301 1335 1665 1615 2840,3
5078,1262 1816 2350 175 1391 2757 2569 1161 1853 926 1193 2764 1178 2578 940 2507 1843,2
5079,1320 1388 700 102 2606 102 1148 357 1445 1662 2392 1355 2304 1042 2214,3
5080,761 2457 417 554 2394 1987 1301 2532 745 453 2192 1309 2842 204 935 2820 1127 2532 2366 2828 1642 2737 2481 795 1669 2660 1723 481,3
5081,1625 366 997 695 535 1491 1203 1866 1592 681 1431 444 2405 2564 1533 444 1243 2546 2558,1
5082,695 821 2810 2532 1531 1683 1491 2067 814 1973 2284 102 771 2764 2250 302 2564 1533 1775 1358 1020 1421 259 2790 2801 1860 2725 307,1
5083,695 126 444 2405 2832 1130 2051 2749 424 1193 2290 457 2663 2564 1533 444 1243 2832 1130 2784 260 1853,1
5084,2345 1554 1143 495 2299 1267 1388 700 681 2558 2427 2664 949 1818 1301 318 2810 2558 1301 589 238 1950 656,1
5085,1681 1225 885 417 2550 1533 1330 1679 618 1723 1766 2666 1866 767 2146 1245 1933 175 1786 424 1193 296 2390 1161 1766,2
5086,2200 1212 1550 169 866 1751 2021 776 681 2558 1981 616 1209 994 1591 685,1
5087,1007 2140 2768 539 1661 2067 814 758 1780 1703 1517 1255 444 2816 2475 259 1982 1389 1232 2089 258 776 490 378 2180 1905 1469,4
5088,2660 2692 1765 1791 2764 2191 1592 2823 2422 1669 155 2663 1618 2706 835 2706 2845 1298 1618 2706 512 2275 2845 1298 1323 2631 974 2412,3
5089,2051 1156 2722 1121 1126 1262 1816 2350 2609 1609 700 2532 1215 1042 175 1391 1491 102 1388 700 2275 1665 630 1662 836,3
5090,272 1909 417 1022 1978 2331 490 2810 1735 2706 1643 2832 2027 370 2497 302 1533 1567 2472 1007 2140 528 1661 1022 1978 1935 1579,3
5091,1260 2645 1031 968 416 2275 292 444 2546 1360 681 102 412 2275,3
5092,2140 2788 1147 2140 2706 301 663 1053 1421 1720 261 1775 417 2140 2706 2747 1695 639 1682 2192 1987 2284 2812 1552 2631 1552 2392,4
5093,997 1679 797 2706 2331 490 2810 987 2027 1648 2019 1538 1328,3
5094,2051 1156 2722 1121 1126 2642 2706 535 1965 106 745 1193 154 155 535 2664 2768 2299 106 745 2845 1298,3
5095,1421 1708 1031 1546 1968 539 126 2329 1269 166 210 102 412 830 258 926 221 102 169 1007 1775 1781 2475 2754 2820 1926 2507,4
5096,1388 700 1298 2558 681 2558 417 1223 1775 1895 2536 212 1694 681 1491 1978 173 1532 1905 284 745,3
5097,1239 2392 1194 2764 2318 132 2176 2213 2383 1245 2764 1412 2043 521 2084 1194 2764,3
5098,2564 1533 2051 1156 1126 1017 1276 630 1161 2427 1475 1073 1775 166 210 1491 2645 176 102 2213 2784 1265 2716,3
5099,509 174 509 2059 758 1179 2192 378 1661 1255 1491 2141 1540 785 2155 1781 936 2808 1223 1775 1987 1491 574 1661 2845 1298 1130 2617 270 270 1421 1247 1241 681 2558 1268 385 210 688,3
5100,366 2478 1069 2808 1465 1179 618 1491 1017 1276 630 1554 1143 2422 385 1249 1369 2536 390 1843,3
5101,2512 1952 2191 2775 417 1169 1895 1780 2276 126 1140 1918 1532 1866 767 444 1243 2546 1947 2558 2788 2373 2116,4
5102,2155 1747 2475 259 845 967 926 968 2764 2041 1625 2081 1194 1914 2645 176 1323 2399 1194 2764,4
5103,444 2090 2405 2189 869 2832 1130 1695 2558 758 221 2512 1255 2018 1751 175 1786,1
5104,2030 2089 2645 1412 2275 228 328 2335 2297 2221 1802 590 445 102 987 684 2645 176 1572 2399 221 2454 2784 1917 771 1724,4
5105,1058 2845 1355 380 1844 2716 1491 1388 700 1683 570 2801 1978 2205 1193 1491 989 1268 385 2712 2116 1843,3
5106,1151 1827 1358 1020 1421 257 2657 2135 417 1408 670 2155 1747 2475 259 1360 1947 2579 2027 1491 2070 2007 2293 2192 2732 1313,4
5107,499 1378 260 1171 1661 814 2746 926 221 102 771 1444 1781 2568 2626 814 2746 2399 1435 2546 293 1444 1781 2192 347 681 2558 1970 2250,4
5108,570 302 2250 797 417 1577 1445 2419 2788 1139 120 1517 1664 255 1866 148 2823 2140 1866 1664 255 221 1135 444 1243 987 1775 1857 1269,4
5109,2135 2657 1665 124 417 570 378 570 587 2146 570 587 1496 2819 292 2373 2399 893 422 655 2784 2247 1265 2716,3
5110,2345 1661 814 2746 161 1267 2379 1805 987 1194 1914 2155 1747 2475 259 2751 1843,4
5111,2345 797 2706 213 986 828 1267 102 227 1078 2546 1194 589 1166,4
5112,1025 2275 1535 1950 132 1781 2801 1978 1042 2213 1491 2493 1437 457 2176 2657,1
5113,1323 2018 681 2558 417 963 204 451 1128 182 1642 1857 1421 1491 1630 259 1895 204 2297 797 2706 2823 1704 1156,3
5114,102 535 1007 1532 2250 2823 2764 1007 2140 2506 2660 1978 173 2816 287 1684 306 1765,3
5115,1017 1276 630 758 213 2176 2657 1255 932 1488 1491 2564 1533 2335 590 1129 811 1245 1679 949 581,3
5116,1288 2187 2041 1765 797 1491 2422 894 2578 2637 2155 987 1042 2351 1754 2379 1987 1843,1
5117,1017 1276 630 2732 1313 758 1775 2215 2371 1255 1491 1665 1752 2416 2140 1291 1708 1007 1655 1017 1276 630 1827 1109 2299 132 1781 1360 2509,3
5118,2345 2550 1533 1245 313 1267 963 2642 2209 1996 424 776 143 178 424 2832,2
5119,485 2155 1747 2475 259 2155 1747 2475 259 1422 424 1112 2660 2620 417 102 2663 444 1243 1102 1383 424 1112 2754 1947,3
5120,2832 2124 1445 1929 2176 2536 390 1491 1388 700 681 2749 424 2664 1194 1843,3
5121,1669 574 2663 1212 2706 2845 1298 2664 1194,3
5122,238 639 302 2730 221 1437 2764 485 2155 1747 2475 259 2546 1683 1783,3
5123,2564 1533 2051 1156 1126 1780 2276 1775 1857 102 169 2419 2788 1491 2155 1747 2475 259 102 1661 2213 997 1844 2716,4
5124,485 2155 1747 2475 259 939 1783 2764 570 2140 2706 2810 197 1550 537 1491 2845 1298 579 1270 1514 970,3
5125,1388 700 1298 2558 681 2558 2706 1533 1066 1744 2141 2820 1491 2558 1520 1615 1437 1444 1438 655 601,3
5126,1950 656 2757 2569 1335 1665 776 490 2331 490 2810 1554 1143 2427 2664 2509 688 2027 2108,3
5127,535 999 490 2810 2757 2569 1895 1781 1295 1576 2793 417 660 758 1695 1043 1255 2084 758 424 1193 1255 1491 490 2810 2558 1404 2019 788 894,3
5128,238 1065 574 1907 1504 2573 1665 124 417 292 424 1112 444 1243 1694 893 1699 1786 202 2706 327,3
5129,2660 2802 797 1742 1981 590 2155 987 102 797 2706 983 2332,3
5130,2512 1618 1978 173 1775 1987 2307 1445 987 758 2141 2820 1255,3
5131,2698 2180 417 2348 1025 2140 957 1223 587 570 2639 490 2802 974 1193,4
5132,2345 797 2706 132 2537 1280 1267 102 2715 1550 1007 1655 1491 331 2664 1538 2525 2027 1648 1843,1
5133,2456 2663 1618 2706 2845 1298 758 404 1010 1255,3
5134,2275 1422 2146 758 755 1042 1517 1255 2146 102 788 635 684 2564 1533 509 174,1
5135,1288 1754 1857 1421 1968 1583 2278 2716 2764 1935 574 737 2299 1007 2140 1007 1322 1648 2089 204 1269 1968 1583 102 412 771 1713 1848 1625,3
5136,485 2275 536 1683 2706 1533 1752 336 417 570 1058 102 1683 570 1954 2299 293 1269,1
5137,2345 1245 2763 2437 102 1267 2512 1618 587 1475 2658 2507 1929 2155 1843,3
5138,2140 2663 1533 1735 2400 2306 912 590 983 688 1863 2180 2400 912 688 1513 2546 680 616 1648 1244 1251 1062 776 2493 1022 1978 2331 490 2810 1735 2706 1643 2832 2027 370 2508 175 1747 2116,3
5139,2564 1533 2051 1156 1126 1017 1276 630 2392 1487 602 418 2645 176 102 1615 1437 1207 2244,3
5140,485 2155 1747 2475 259 2546 1683 417 574 1661 132 1781 2213 1355 655 2660,3
5141,574 375 102 1564 611 1661 2051 102 535 258 2823 2422 2371 2027 319 535,4
5142,2345 2564 1533 2335 590 2437 1267 102 2810 2558 2754 1947 655 1967 1491 587 1475 2155 1747 2475 259 1445 1978 1178 2578 1662 1843,3
5143,2493 2079 2747 681 2383 2416 102 1775 2757 1445 987 272 1909 1985 1978 417 1251 2141 1985 1683 1437 173 758 2155 378 2155 2512 1255 1491 227 1950 1374 1447 1700 2041 1981 1066,3
5144,2422 385 987 845 967 1268 1915 883 280 1843,1
5145,2051 1156 2722 1121 1126 2536 390 2213 2784 1265 2716 2845 1298 1642 2213 1466 1625 102 1023 1193 2784 1902 2716,3
5146,1775 259 1546 228 1567 586 997 260 771 1223 1775 1987 1491 940 1058 102 1090 1066 221 380 695 771 319,1
5147,2677 880 539 536 1978 173 1270 1732 1491 1412 2828 2659 674 1268 385 2837 1786 570 2140 1843,4
5148,1773 973 570 1058 102 2606 102 1148 2823 2141 2275 535 313 1781 1295 1704 1166,1
5149,2135 2143 587 1475 417 1251 2141 1358 1020 2146 2400 1020 2146 1987 2342 912 590 2155 2597 292 1857 422 102 412 319 965 102 412 319 444 1243,3
5150,660 2293 2192 2084 1781 1295 1491 102 2051 967 1268 385 238 2157 1661 814 2746 1731 2810 639 1316 494 720,4
5151,302 2639 1765 797 1126 1538 2525 2564 1533 1491 2634 137 2373 1765 797 1843,1
5152,2196 2392 787 1978 302 2730 2331 490 2810 2084 1194 2196 175 295 1625 2774,3
5153,2475 576 926 221 1669 574 726 2564 1346 1661 814 2746 1859 2019 2371 2027 940 1251 1062,4
5154,2331 490 2810 1978 173 424 2832 1491 2757 2569 949 422 1866 148 974 170 302 2639,3
5155,1747 2558 1466 1291 1358 1020 1421 770 2615 1768 417 1775 2660 726 2419 2788 445 102 1564 2399 866 535 926 221,4
5156,845 967 2664 1141 1491 1169 2664 1268 385 529 1482,4
5157,490 2810 681 2558 2801 1487 940 942 1491 1149 1269 259 290 1386 1100 472 604 1843,3
5158,570 2747 160 1461 657 1981 1216 1755 915 250 417 2331 490 2810 1987 113 1269 1360 1947 1404 1866 2508 1912 1661 987 1766 2666,3
5159,132 1781 1665 630 229 1535 1491 2486 1747 2146 1775 259 1546 1642 2213 1491 2504 539 2155 2712 2116 2479 2816,1
5160,412 1014 758 1952 2785 1255 1661 814 2746 1902 126 102 1212 444 2545,4
5161,2345 2140 495 2564 1533 240 329 1267 102 535 574 737 2299 2512 1618 1151 1576 120 2706 2810 1541 1728 2250 1244,3
5162,2051 1156 2722 1121 1126 421 132 1355 1575 1583 102 2716 1972 1500 2383 2176 1355 1535 1950 2706 2810 2801 1487 940 942,3
5163,1388 700 1298 2558 681 2558 1355 2304 2025 1333 1491 2642 2706 1185 171 106 745 1388 700 2155 1747 2475 259,3
5164,1175 2666 1424 1297 417 1437 2454 2550 1533 166 210 102 2677 319 2317 1045 1243 1223 1903 1001 1775 1987 2064 1844 126 102 1212 463,2
5165,2025 1212 602 745 2764 1917 1583 102 412 771 2845 1298 758 2659 2004 2033 1255 2664 1194,3
5166,1681 1225 885 417 2550 1533 677 1355 424 1193 2192 2299 1866 767 2146 1330 1679 1700 914 1465 1179 1662 290,2
5167,166 210 102 1583 102 412 771 319 1491 1504 1754 1857 1421 2621 1583 102 2716 444 2405 2564 1533 2671 737 2299 1978 173 2067 814 1161 1223 1775 1987,1
5168,2564 1533 535 313 876 451 570 2747 134 1533 1661 106 1857 422,1
5169,2757 2569 758 833 2373 2082 1255 1360 2192 1491 2331 490 2810 2427 2664 871 1156 2764,3
5170,2677 2140 2155 1268 385 1112 537 570 2140 2706 2810 1843,3
5171,1203 2660 2706 327 1661 665 1462 618 485 2155 1747 2475 259 1491 974 1935 750 1765 1050 1978,3
5172,1649 2765 558 1805 2639 1350 1126 2845 1298 2373 1694 238 833 1100 1514 2412 926 2754 2764 2845 1298 132 1781 1404 259 2213 2751 1843,3
5173,2564 1533 2051 1156 1126 2224 2573 2051 2299 655 893 2764 1161 1437 102 2716 2209 1996 1844 821 2810 2532 311 745,1
5174,1708 302 2564 1533 1693 1549 2457 417 1388 700 681 2558 1886 182 2192 1333 526 974 1193 1491 2025 535 2823 1421 2783 1859 1679,3
5175,570 2140 700 1127 1648 657 590 1020 1421 891 1165 1151 417 2140 534 1388 700 681 2558 2754 1680 1987 113 1269 1360 1947 766 1548 1491 1695 2558 1700 1532 1905 155 1661 2831 2031,3
5176,166 1360 2764 2550 1533 1355 1194,2
5177,1262 1816 2350 1775 175 1391 2757 2569 2418 1110,4
5178,758 485 1180 485 1255 509 154 618 1017 535 1139 2664 2621 2663 485 2155 1747 2475 259 444 1243 2178 677 2141 1180,3
5179,570 2140 1592 681 776 2493 1022 1978 2331 490 2810 1735 2706 1643 2832 2027 370 692 926 2754 2784 102 539 620 2584 987 1317 245 1747 2116,3
5180,2660 287 1555 421 1731 132 1781 210 102 1156 1491 2384 377 394 1022 940 1978 2768 1245 2213 2784 102 2716,3
5181,272 1909 2284 2523 2656 1554 424 1232 2206 102 444 1067 2550 1533 1673 2816 417 2300 803 1276 1984 1360 1731 2295 1418,2
5182,893 422 2412 313 1678 2269 1725 1388 1127 2155 1747 2475 259 2180 2512 2766 1665 124 2399 1435 893 422 1265 2716 444 1243,3
5183,2345 1844 126 1576 1156 965 2573 1618 1978 173 1267 1265 126 1615 1437 1704 1166 1491 1844 126 1268 385 529 1482 1843,3
5184,2475 882 1388 1790 1661 2051 2764 204 935 1878 1903 1978 173 1491 936 655 452 2155 1544 1843,4
5185,2345 1017 1276 630 1245 1245 1576 1267 2558 1520 1744 656 2389 1514 859 2438 974 170 1491 1017 1276 630 1554 1143 1935 1827 1859 1679 1843,3
5186,2845 1298 2355 1648 827 619 417 1564 2399 102 535 1038 1766 296 2390 896 2783 1700 258 1098 656,3
5187,1323 2018 681 2558 1514 2412 1475 1073 1223 1775 494 296 2126 688 2427 1775 336 2574,3
5188,2779 742 472 1630 417 444 1243 1981 512 2645 176 2810 2532 2584 1935 692 424 176 752 1058 1491 2754 681 1269 2810 659 2018,3
5189,485 2155 1747 2475 259 1683 570 2392 1487 2536 2530 1491 102 1857 2392 102 2213 1917 1583 1844 2716,3
5190,1437 2454 2550 1533 1161 1223 1903 1001 1775 1987 2027 1641 417 618 1017 535 1700 1865 940 681 1766 2666,2
5191,2345 2592 1950 1267 1554 1143 1069 2808 1207 2244 1491 1412 2043 1866 1538 2525 1843,4
5192,681 2558 422 2808 1857 1421 1775 259 1546 2507 1895 1630 259 589 2130 1976 968,3
5193,2345 213 412 1914 604 1619 1267 570 2747 1857 1269 2757 2569 1185 221 1491 259 331 2664 2660 1453 681 2749 2751 1843,4
5194,1681 1225 885 417 2677 2140 102 2132 2176 509 2146 2550 1533 914 424 2832 2084 2802 1161 1860 2274 2213 2814 1193,2
5195,1298 2089 2507 681 2558 2427 2645 176 1552 1130 2051 967 1491 1981 2027 843 1501 1501 1360 2192 1987 2293 2192 2645 176,3
5196,102 821 570 1058 102 1665 630 1042 2213 1491 102 570 1533 866 1212 940 1978,1
5197,2277 259 1546 805 1714 780 1696 950 2509 1491 681 2558 2427 2664 955 1076 1860 2746 1775 2027 2108,3
5198,1775 438 1175 1678 2169 1648 940 1661 665 881 2437 1194 2456 2525,4
5199,1681 1225 885 417 1320 614 1781 1295 2536 2784 1564 1679 2146 2550 1533 644 422 143 178 424 776 678 1487 2712 2116,2
5200,570 302 417 570 302 1533 512 292 1860 404 570 302 1592 681 987 485 2155 1747 2475 259 1859 1860 2375,3
5201,1978 301 1053 279 331 517 416 1298 1491 2415 378 2422 385 848 1765 1775 2746 1431 2506 1861 2018 2810 2558 1843,3
5202,1033 553 522 696 1825 1360 1947 1665 124 1360 681 102 771 2155 2515 1632 1859 422 2808 1360 1947 2375 2845 1491 1409 1422 1249 2621 1583 1575 2716,1
5203,2563 2478 1491 1661 1550 1360,3
5204,2741 1251 707 681 2558 1514 2412 1860 2746 417 1775 1475 1073 1895 1775 1978 173 2027 2108 1694 472,3
5205,866 535 485 2155 1747 2475 259 758 1532 2438 1050 1255 940 1978 444 1243 1781 1269 2844 385 934 1857,3
5206,1406 1965 1892 1892 2764 635 539 945 2730 1491 166 2449 197 1057,4
5207,102 2481 795 2155 1747 2475 259 1661 1648 258 2228 1968 126 1902 1212 298 2621 1212 2019 2202 106 1461,4
5208,1467 1275 1965 2764 535 534 2067 814 1661 1857 102 771 1491 1223 2558 1554 1431 1579 132 1781 2067 814 997 1713 771 1491 758 1421 1152 1255 780 221 651 1223 2558 1554,1
5209,2345 1442 1547 2656 1267 619 1765 1194 1547 2656 2584 2172 2564 1533 1491 1804 989 1268 385 797 2706,1
5210,2051 1156 2722 1121 1126 681 2558 1935 1827 246 2027 1641 2274 656 1017 1276 630 1312 2808 2392 1023 2213 997 1265 2716,3
5211,2345 2155 1747 2475 259 1245 313 1267 2356 2642 2749 149 1193 154 1843 1781 1295 639 1316 2146 1232 2089 788 2051 1156 1268 385 2274,4
5212,302 1102 1764 2328 2057 805 2057 2067 1169 564 1388 700 197 2631 2744 2832 2063,3
5213,570 2564 1643 635 505 1694 106 2354 2820 759 279 2018 2744 2419 2788 1747 2116 926 221 759 279 1431 1579 1066 1371 1684 2250 680 694 1360 2509 759 2018 968 2840,1
5214,660 814 2746 926 590 2084 1232 2089 2546 1360 1491 1661 814 2746 776 490 758 2196 1445 2660 444 1328 1255 2422 385 2086 2578 2668 1843,4
5215,962 547 1665 124 417 292 1139 1917 1583 2383 771 319 965 1265 1583 2383 771 319 424 1112,3
5216,1649 2765 558 1805 2639 1350 1126 1320 614 1781 1295 656 2228 1564 1679 1491 587 1475 2536 390 2019 1595 1843,3
5217,570 632 302 2140 957 417 175 1786 2812 1068 378 1952 1708 960 2558 1866 767 444 1243 618 1519 2141 444 1243 1360 1731 960 1685 1848 913 1020 809,3
5218,2564 1533 2051 1156 1126 1554 1143 2205 1193 1662 1987 2764 1981 616 102 1615 1437 1207 2244,3
5219,492 765 635 238 1965 1251 1491 1025 2275 1100 2427 869 1206 1541 1728 1625 1156,1
5220,1649 1079 2013 655 968 1194 1491 1149 991 444 1243 2155 1747 2475 259 1996 1954 535 229 102 2164 2764,3
5221,2766 2794 1351 643 2019 1025 1494 270 940 1978 2427 2664 2350 1829 643 1669 2660 2155 1747 2475 259,3
5222,2135 2180 1388 700 1661 2371 802 758 537 537 537 1255 259 2790 521 2084 1775 987 1857 1421 1156 1843,3
5223,2126 2192 204 445 417 292 102 1583 102 771 319 1751 227 2126 2192 868 102 1583 102 2716,3
5224,495 352 1665 124 417 1069 2808 2422 512 2155 1747 2475 259 935 444 1243 974 494 800 644,3
5225,2345 1554 1143 495 2299 1267 238 639 1648 1244 1595 258 831 2785 1491 1950 656 2757 2569 2080 2019 1130 2617 776 490,1
5226,1682 2192 2331 490 2810 1978 173 2812 1043 1360 1947 1533 1735 1431 2506 1775 535 1185 221 1775 416,3
5227,1952 124 926 456 417 1902 126 2667 1967 1783 2141 647 1491 2017 290 797 656 2019 1538 1843,1
5228,2631 381 1912 618 1491 238 322 1609 1388 700 987 302 2639 2764,3
5229,1837 1074 417 102 535 1665 736 1747 2558 2810 2438 2192 691 1857 1421 2621 2716 215 2084 102 771 319,3
5230,1017 1276 630 1554 1143 1175 1683 1615 1437 2392 1487 1491 1017 1276 630 102 2213 2784 1917 1583 2621 2716,3
5231,1917 412 771 2677 319 258 424 1066 485 2155 1747 2475 259 2767 681 2749 1866 1860 2027 1194 1843,3
5232,1466 2309 512 2155 1747 2475 259 444 2509 102 535 1669 2671 737 2299 2558 1520 983 634 1042 1288 1754 1857 1421 102 1583 2278 2716 635 319 2031 455 422 2808 926 2754,3
5233,570 1533 444 1243 102 535 2299 1541 2155 1747 2475 259 1723 2744 2084 1679 1552 968 1008 2714 1491 866 535 1139 2664 635 2663 2845 1298 1161 1735 2706 1973 2284 1100 2178 677,3
5234,2345 213 416 2437 1765 797 1267 537 2019 1987 1156 1178 2578 210 1491 1552 787 132 2537 1194 1914 2660 618,1
5235,1804 2140 2768 539 1552 1981 1859 512 2764 2135 2422 1412 1731 951 2024 2712 2116 1431 2506 780 1696 1360 2509,1
